"time","Pack Voltage"
"1737.174","292.9"
"1737.687","292.9"
"1738.2","292.6"
"1739.226","292.6"
"1739.739","292.9"
"1740.765","292.9"
"1741.278","292.6"
"1741.791","292.9"
"1742.304","292.6"
"1743.33","292.6"
"1743.843","292.9"
"1744.356","292.6"
"1744.869","292.9"
"1745.382","292.6"
"1745.895","292.9"
"1747.434","292.9"
"1747.947","292.6"
"1748.46","292.9"
"1748.973","292.9"
"1749.486","292.6"
"1749.999","292.6"
"1750.512","292.9"
"1751.025","292.6"
"1751.538","292.6"
"1752.051","292.9"
"1753.077","292.9"
"1753.59","292.6"
"1754.103","292.9"
"1755.129","292.9"
"1755.642","292.6"
"1756.155","292.9"
"1758.207","292.9"
"1758.72","292.6"
"1759.233","292.9"
"1759.746","292.6"
"1761.285","292.6"
"1761.798","292.9"
"1762.824","292.9"
"1763.337","292.6"
"1763.85","292.9"
"1764.363","292.6"
"1764.876","292.9"
"1765.389","292.6"
"1765.902","292.9"
"1766.928","292.9"
"1767.441","292.6"
"1767.954","292.9"
"1768.98","292.9"
"1769.493","292.6"
"1770.006","292.9"
"1772.571","292.9"
"1773.084","292.6"
"1773.597","292.9"
"1775.137","292.9"
"1775.65","292.6"
"1776.163","292.9"
"1777.189","292.9"
"1777.702","292.6"
"1778.215","292.9"
"1779.241","292.9"
"1779.754","292.6"
"1780.267","292.9"
"1781.806","292.9"
"1782.319","292.6"
"1783.345","292.6"
"1783.858","292.9"
"1784.371","292.6"
"1784.884","292.6"
"1785.397","292.9"
"1786.936","292.9"
"1787.449","292.6"
"1787.962","292.9"
"1788.475","292.9"
"1788.988","292.6"
"1789.501","292.9"
"1790.014","292.6"
"1790.527","292.9"
"1791.04","292.6"
"1791.553","292.9"
"1792.066","292.6"
"1792.579","292.9"
"1793.092","292.9"
"1793.605","292.6"
"1794.118","292.9"
"1794.631","292.6"
"1795.144","292.9"
"1796.17","292.9"
"1796.683","292.6"
"1797.196","292.9"
"1797.709","292.9"
"1798.222","292.6"
"1798.735","292.9"
"1799.761","292.9"
"1800.274","292.6"
"1801.3","292.6"
"1801.813","292.9"
"1802.839","292.9"
